SMILES
CC1(C)OC[C@@H](COC(=O)CCc2ccc(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)cc2)O1
CC1(C)OC[C@@H](COC(=O)CCc2ccc(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)cc2)O1.Cl
CC1(C)OC[C@@H](COS(C)(=O)=O)O1
CC1(C)OC[C@@H](O)[C@H](O)CO1
CC1(C)OC[C@@H]2O[C@@]3(C(=O)O)OC(C)(C)O[C@H]3[C@@H]2O1
CC1(C)OC[C@](C)(CO)O1
CC1(C)OC[C@H]([C@@H]2CC(=O)c3cc(F)ccc3O2)O1
Cc1cc(C)c(C)cc1C
Cc1ccc(C)c(C)c1
Cc1ccc(C)c(C)c1C
Cc1cccc(C)c1C
Fc1c(F)c(F)c(F)c(F)c1F
Fc1cc(F)c(F)c(F)c1F
